source,target,value
257625,1178174,1
257625,1251684,1
257625,1411750,1
257625,1621546,1
257741,6470,2
257741,257741,1
257743,255663,1
257743,1586825,1
257745,255663,1
257745,257743,1
257745,257787,1
257745,1586825,1
257745,1594338,1
257787,255663,1
257787,257743,1
257787,1586825,1
257843,260834,1
257843,260838,1
257843,1100790,1
257843,1188342,1
257843,1201275,1
257843,1312078,1
257843,1470896,1
257843,1489471,1
257847,257843,1
257847,260834,1
257847,260838,1
257847,1053759,1
257847,1100790,1
257847,1188342,1
257847,1201275,1
257847,1240064,1
257847,1312078,1
257847,1362090,1
257847,1422115,1
257847,1470896,1
257847,1489471,1
257863,257877,1
257863,257883,1
257863,1040207,1
257863,1523809,1
