source,target,value
1010059,127344204,1
1010059,1331170,1
1010059,1377809,2
1010059,1411512,5
1010059,1420696,2
1010059,1479969,1
1010059,1492376,1
1010059,1543797,2
1010059,1585271,1
1010059,1624689,1
1010059,1661435,1
1010059,1725215,1
1010059,1743240,1
1010059,1747925,1
1010059,1790062,2
1010059,1806487,1
1010059,1844916,1
1010059,2035431,1
1010059,215975075,1
1010059,215977780,1
1010059,5739,1
1010059,6252,1
1010059,6638,2
1010059,78498491,1
1010065,1477441,1
1010065,1887321,1
1010065,1964960,1
1010065,1964985,1
1010085,240733137,2
1010253,1303339,1
1010253,1362595,1
1010400,1009942,1
1010400,1161160,1
1010400,1231991,1
1010400,1282414,1
1010400,1287367,1
1010400,1343252,1
1010400,1351460,1
1010400,1358652,1
1010400,1387675,1
1010400,1413460,1
1010400,1417565,1
1010400,1420924,1
1010400,14863478,1
1010400,1490803,1
1010400,1506435,1
1010400,1529501,1
1010400,1530829,1
1010400,15334681,1
1010400,1627013,1
1010400,1661830,1
1010400,1711358,1
1010400,1744598,1
1010400,18837569,1
1010400,2044353,1
1010400,216299469,1
1010400,30327955,1
1010400,39399435,1
1010400,6608,2
1010440,1413460,3
1010440,1686076,1
1010440,1686082,1
1010440,1699100,1
1010440,234827108,1
1010485,1313972,1
1010485,1460399,1
1010485,1935598,1
1010485,255994,1
1010501,1668579,1
1010501,1668586,1
1010508,1111997,1
1010508,1129320,1
1010508,1150406,1
1010508,1183592,1
1010508,1259151,1
1010508,1350132,1
1010508,1370598,1
1010508,1428276,1
1010508,1463285,1
1010508,1512491,1
1010508,1564958,1
1010508,1607671,1
1010508,1608112,1
1010508,1623067,1
1010508,1642340,1
1010508,1653056,1
1010508,1666389,1
1010508,1686936,1
1010508,1690114,1
1010508,1714763,1
1010508,1741053,1
1010508,1779158,1
1010508,1794349,1
1010508,1804627,1
1010508,1826877,1
1010508,1843650,1
1010508,197655692,1
1010508,20436255,1
1010508,207157939,1
1010508,20845668,1
1010508,216711248,1
1010508,216711414,1
1010508,54903936,1
1010508,66004150,1
1010524,1549494,1
1010524,1680021,1
1010530,1103411,2
1010553,132812610,1
1010553,1375829,1
1010553,1444548,1
1010553,1800335,1
1010553,2001146,1
1010553,215356232,1
1010553,28300585,1
1010576,1349966,2
1010576,1434257,1
1010576,1480457,1
1010576,1584917,1
1010576,1678193,2
1010576,27112316,2
1010576,37823084,1
1010576,72988950,1
1010709,1102994,1
1010709,1107310,1
1010709,1157513,1
1010709,1181346,1
1010709,1192237,1
1010709,1225209,1
1010709,1412008,1
1010709,1673175,1
1010709,1673205,1
1010709,254195,1
1010709,6244,1
1010820,1179576,1
1010820,1289655,1
1010820,1331919,1
1010820,1594986,1
1010820,1648958,1
1010820,1666277,1
1010820,1772342,1
1010820,1819052,1
1010820,1820393,4
1010820,1823119,1
1010820,1826247,1
1010820,1832480,1
1010820,1851692,1
1010820,36474314,1
1010820,41078928,1
1010820,77678250,1
1010833,1033244,1
1010833,1330754,1
1010833,1380026,1
1010833,1409096,1
1010833,1432210,1
1010833,1553725,1
1010833,1569925,1
1010833,1586116,1
1010833,1640135,1
1010833,1703036,1
1010833,1711095,1
1010833,1828093,1
1010833,255470164,1
1010833,257291560,1
1010833,270128715,1
1010833,27809518,1
1010833,32562009,1
1010833,422721,1
1010833,46939071,1
1010833,990080,1
1010839,1366347,2
1010839,1421910,1
1010839,1464665,1
1010839,254185,1
1010907,1063748,1
1010907,1169930,1
1010907,1199791,1
1010907,1539232,1
1010907,1673292,1
1010907,259155,1
1010907,259159,1
1010907,259163,1
1010907,259173,1
1010907,259181,1
1010922,1601914,1
1010922,1709950,1
1010922,1758307,1
1010971,1011086,1
1010971,1168317,1
1010971,1679749,1
1011059,1782014,1
1011065,1324755,1
1011065,1436157,1
1011086,1010971,1
1011086,1021923,1
1011086,1231991,1
1011086,1365792,1
1011086,1468182,1
1011086,1470215,1
1011086,1495378,3
1011086,1534451,1
1011086,1550231,2
1011086,1572744,1
1011086,1574978,1
1011086,1657939,1
1011086,1666672,1
1011086,1681193,1
